id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
223388,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 20, 2014",2014,"Apr 20, 2014",2014,rak-bank,Rak Bank,Rak Bank,Asia,United Arab Emirates,ARE,deutsche-bank-ag-singapore-sgp,Deutsche Bank AG,Asia,Singapore,SGP,1,42986.36
223662,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Rak Bank,Asia,United Arab Emirates,ARE,mega-intl-comml-bk-singapore-sgp,Mega Int'L Comm'L Bk,Asia,Singapore,SGP,1,4111.82
223688,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 7, 2014",2014,"Feb 11, 2014",2014,mauritius-commercial-bank-ltd,Mauritius Commercial Bank Ltd,Mauritius Commercial Bank Ltd,Africa,Mauritius,MUS,banque-de-commerce-et-de-placements-s-a-geneva-switzerland-che,Banque De Commerce Et De Placements SA ,Europe,Switzerland,CHE,2,2956552
223691,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 11, 2014",2014,"Feb 11, 2014",2014,cor-clearing-llc,"Cor Clearing, Llc ","Cor Clearing, Llc ",North America,United States,USA,rietumu-banka-jsc-riga-latvia-lva,Rietumu Banka JSC,Europe,Latvia,LVA,1,2250000
223692,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 5, 2014",2014,"Feb 5, 2014",2014,bsi-sa,BSI SA,BSI SA,Europe,Switzerland,CHE,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Asia,Singapore,SGP,1,40075000
223880,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 18, 2013",2013,"Mar 28, 2013",2013,united-overseas-bank-limited,United Overseas Bank Limited,United Overseas Bank Limited,Asia,Singapore,SGP,bank-vontobel-ag-zurich-switzerland-che,Bank Vontobel AG,Europe,Switzerland,CHE,8,3985000
223887,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 7, 2013",2013,"Mar 26, 2013",2013,abn-amro-bank-nv,ABN Amro Bank N.V.,ABN Amro,Europe,Netherlands,NLD,credit-suisse-ag-geneva-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,13800000
223903,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 15, 2013",2013,"Feb 15, 2013",2013,abn-amro-bank-nv-amsterdam-netherlands-nld,"ABN Amro Bank N.V. (Amsterdam, Netherlands)",ABN Amro,Europe,Netherlands,NLD,credit-suisse-ag-zurich-switzerland-che,"Credit Suisse Ag (Zurich, Switzerland)",Europe,Switzerland,CHE,1,2431100
224004,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 28, 2014",2014,"Apr 28, 2014",2014,promsvyazbank,Promsvyazbank,Promsvyazbank,Europe,Russia,RUS,rosbank-moscow-russia-rus,Rosbank,Europe,Russia,RUS,1,40000
224005,2848,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 28, 2014",2014,"Apr 28, 2014",2014,promsvyazbank,Promsvyazbank,Promsvyazbank,Europe,Russia,RUS,credit-union-payment-center-ltd-novosibirsk-russia-rus,Credit Union Payment Center Ltd,Europe,Russia,RUS,1,30000
