id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
223254,3297,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 25, 2015",2015,"Sep 25, 2015",2015,cimb-bank-berhad,CIMB Bank Berhad,CIMB Bank Berhad,Asia,Singapore,SGP,barclays-bank-plc-london-england-gbr,Barclays Bank Plc,Europe,United Kingdom,GBR,68,56900000
223255,3297,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 30, 2015",2015,"Sep 25, 2015",2015,cimb-bank-berhad,CIMB Bank Berhad,CIMB Bank Berhad,Asia,Singapore,SGP,barclays-bank-plc-london-england-gbr,Barclays Bank Plc,Europe,United Kingdom,GBR,118,116000000
223686,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 18, 2014",2014,"Feb 18, 2014",2014,credit-suisse-ag,Credit Suisse AG,Credit Suisse AG,Europe,Switzerland,CHE,bank-of-america-na-new-york-ny-usa,Bank of America N.A. ,North America,United States,USA,1,4000000
223689,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 6, 2014",2014,"Feb 19, 2014",2014,sberbank,Sberbank,Sberbank,Europe,Switzerland,CHE,vp-bank-luxembourg-sa-luxembourg-lux,VP Bank,Europe,Luxembourg,LUX,2,2970217.07
223692,3719,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 5, 2014",2014,"Feb 5, 2014",2014,bsi-sa,BSI SA,BSI SA,Europe,Switzerland,CHE,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Asia,Singapore,SGP,1,40075000
223874,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 7, 2013",2013,"Mar 22, 2013",2013,sberbank-of-russia,Sberbank of Russia,Sberbank of Russia,Europe,Russia,RUS,bank-of-taiwan-hong-kong-hkg,Bank of Taiwan,Asia,Hong Kong,HKG,3,1750000
223880,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 18, 2013",2013,"Mar 28, 2013",2013,united-overseas-bank-limited,United Overseas Bank Limited,United Overseas Bank Limited,Asia,Singapore,SGP,bank-vontobel-ag-zurich-switzerland-che,Bank Vontobel AG,Europe,Switzerland,CHE,8,3985000
223882,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 8, 2013",2013,"Mar 8, 2013",2013,dbs-bank-ltd-singapore,"DBS Bank Ltd, Singapore","DBS Bank Ltd, Singapore",Asia,Singapore,SGP,agricultural-bank-of-china-qingdao-china-chn,Agricultural Bank of China,Asia,China,CHN,1,1501920
223883,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 1, 2013",2013,"Mar 1, 2013",2013,dbs-bank-ltd,DBS Bank Ltd,DBS Bank Ltd,Asia,Singapore,SGP,ping-an-bank-co-ltd-shenzen-china-chn,"Ping An Bank Co., Ltd.",Asia,China,CHN,1,3834432
223884,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 6, 2013",2013,"Mar 14, 2013",2013,ap-anlage-und-privatbank-ag,Ap Anlage Und PrivatBank AG,Ap Anlage Und PrivatBank AG,Europe,Switzerland,CHE,azerpost-baku-azerbaijan-aze,Azerpost,Asia,Azerbaijan,AZE,3,5499955.67
