id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
224052,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 7, 2014",2014,"Mar 7, 2014",2014,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,efg-bank-zurich-switzerland-che,EFG Bank,Europe,Switzerland,CHE,2,33599900
224993,2390,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 7, 2013",2013,"Feb 15, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,uralsib-bank-oao-moscow-russia-rus,Uralsib Bank OAO,Europe,Russia,RUS,4,3250000
224994,2390,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 7, 2013",2013,"Jan 7, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,piraeus-bank-ad-beograd-beograd-serbia-srb,Piraeus Bank Ad Beograd,Europe,Serbia,SRB,1,1190000
224995,2390,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 9, 2013",2013,"Mar 18, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,the-national-bank-of-ras-al-khaimah-ras-al-khaimah-uae-are,The National Bank of Ras Al-Khaimah,Asia,United Arab Emirates,ARE,7,1507007.31
224997,2390,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 14, 2013",2013,"Mar 28, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,9,1549402.5
224999,2390,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 18, 2013",2013,"Mar 18, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,dbs-banktaiwan-ltd-taipei-taiwan-twn,DBS Bank(Taiwan) Ltd,Asia,Taiwan,TWN,7,1820895.54
225002,2390,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 9, 2013",2013,"Mar 29, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,sberbank-of-russia-moscow-russia-rus,Sberbank of Russia,Europe,Russia,RUS,39,7065572
225012,2746,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 13, 2015",2015,"Feb 13, 2015",2015,rietumu-banka-jsc,Rietumu Banka JSC,Rietumu Banka JSC,Europe,Latvia,LVA,turkiye-cummuriyeti-ziraat-bankasi-ankara-turkey-tur,Turkiye Cummuriyeti Ziraat Bankasi,Asia,Turkey,TUR,1,55000
225015,2746,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 20, 2014",2014,"Oct 20, 2014",2014,ablv-bank,ABLV Bank,ABLV Bank,Europe,Latvia,LVA,canara-bank-new-delhi-india-ind,Canara Bank,Asia,India,IND,1,99247
225016,2746,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 12, 2014",2014,"Feb 18, 2015",2015,rietumu-banka-jsc,Rietumu Banka JSC,Rietumu Banka JSC,Europe,Latvia,LVA,bank-of-maharashtra-new-delhi-india-ind,Bank of Maharashtra,Asia,India,IND,3,200000
225017,2746,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 2, 2014",2014,"Dec 3, 2014",2014,rietumu-banka-jsc,Rietumu Banka JSC,Rietumu Banka JSC,Europe,Latvia,LVA,asya-katilim-bankasi-as-istanbul-turkey-tur,Asya Katilim Bankasi A.S.,Asia,Turkey,TUR,2,202517.58
225018,2746,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 7, 2014",2014,"Feb 18, 2015",2015,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,ab-dnb-bankas-vilnius-lithuania-ltu,AB DNB Bankas,Europe,Lithuania,LTU,2,400000
225038,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 25, 2015",2015,"Feb 27, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,4,1706554.16
225039,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 27, 2015",2015,"Jan 27, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,2000000
225042,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 23, 2015",2015,"Feb 27, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,3800000
225043,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 21, 2015",2015,"Feb 27, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,10,4814000
225044,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 20, 2015",2015,"Feb 20, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,5250000
225045,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 19, 2015",2015,"Feb 19, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,10000000
225047,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 15, 2015",2015,"Feb 26, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,turkiye-finans-katilim-bankasi-as-istanbul-turkey-tur,Turkiye Finans Katilim Bankasi A.S.,Asia,Turkey,TUR,9,5950260
225074,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 29, 2015",2015,"Dec 29, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,kazkommertsbank-almaty-kazakhstan-kaz,Kazkommertsbank,Asia,Kazakhstan,KAZ,2,463974
225082,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 24, 2015",2015,"Dec 24, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,kazkommertsbank-almaty-kazakhstan-kaz,Kazkommertsbank,Asia,Kazakhstan,KAZ,2,1899974
225083,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 1, 2015",2015,"Dec 29, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,bta-bank-jsc-almaty-kazakhstan-kaz,BTA Bank JSC,Asia,Kazakhstan,KAZ,4,986892
226114,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 28, 2013",2013,"Jun 28, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,woori-bank-seoul-south-korea-kor,Woori Bank,Asia,South Korea,KOR,1,1720942.4
226115,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 25, 2013",2013,"Jun 25, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,nordea-bank-danmark-as-copenhagen-denmark-dnk,Nordea Bank Danmark A/S,Europe,Denmark,DNK,1,1000000
226117,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 13, 2013",2013,"Jul 9, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bnp-paribas-suisse-sa-geneva-switzerland-che,Bnp Paribas Suisse SA,Europe,Switzerland,CHE,6,5149975.15
226119,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 10, 2013",2013,"Jun 10, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,schroder-and-company-bank-ag-switzerland-che,Schroder And Company Bank Ag,Europe,Switzerland,CHE,1,1760000
226120,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 28, 2013",2013,"Jul 15, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bank-vozrozhdenie-russia-rus,Bank Vozrozhdenie,Europe,Russia,RUS,4,1141505.36
226121,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 7, 2013",2013,"Jul 26, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bank-vozrozhdenie-moscow-russia-rus,Bank Vozrozhdenie,Europe,Russia,RUS,5,1020000
226123,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 4, 2013",2013,"Jul 2, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bnp-paribas-suisse-sa-geneva-switzerland-che,Bnp Paribas Suisse SA,Europe,Switzerland,CHE,5,5997500
226312,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 2, 2014",2014,"Oct 29, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,ing-bank-eurasia-zao-moscow-russia-rus,ING Bank Eurasia Zao,Europe,Russia,RUS,3,1022.38
226313,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 9, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,5,410000
226314,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 30, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,439808
226315,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 24, 2014",2014,"Oct 24, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,500000
226316,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 29, 2014",2014,"Oct 29, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,audi-private-bank-sal-beirut-lebanon-lbn,Audi Private Bank S.A.L. ,Asia,Lebanon,LBN,1,536792.25
226317,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 31, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,540000
226318,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 31, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,ulster-bank-limited-dublin-ireland-irl,"Ulster Bank, Limited",Europe,Ireland,IRL,1,11926.5
226320,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 6, 2014",2014,"Oct 30, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,4,852751.55
226321,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 1, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,14,4093000
226322,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 30, 2014",2014,"Oct 30, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,unicredit-bank-cjsc-moscow-russia-rus,"UniCredit Bank, Cjsc",Europe,Russia,RUS,1,10000000
226323,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 28, 2014",2014,"Oct 28, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,bank-soyuz-moscow-russia-rus,Bank Soyuz,Europe,Russia,RUS,1,10500000
226633,4292,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 5, 2015",2015,"Jun 5, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,usb-bank-plc-nicosia-cyprus-cyp,Usb Bank Plc,Europe,Cyprus,CYP,1,15347
226634,4292,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 14, 2015",2015,"Apr 14, 2015",2015,rietumu-banka-jsc,Rietumu Banka JSC,Rietumu Banka JSC,Europe,Latvia,LVA,usb-bank-plc-nicosia-cyprus-cyp,Usb Bank Plc,Europe,Cyprus,CYP,1,30000
226786,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 7, 2013",2013,"May 30, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,skandinaviska-enskilda-banken-sweden-stockholm-sweden-swe,Skandinaviska Enskilda Banken - Sweden,Europe,Sweden,SWE,3,4837379.55
226787,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 8, 2013",2013,"May 8, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,open-joint-stock-company-vtb-bank-kiev-ukraine-ukr,Open Joint-Stock Company VTB Bank,Europe,Ukraine,UKR,1,14750000
226789,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 8, 2013",2013,"May 14, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,open-joint-stock-company-vtb-bank-kiev-ukraine-ukr,Open Joint-Stock Company VTB Bank,Europe,Ukraine,UKR,22,51500000
226790,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 30, 2013",2013,"May 9, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,china-construction-bank-zhejiang-china-chn,China Construction Bank,Asia,China,CHN,4,1770000
226791,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 25, 2013",2013,"May 9, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,bsi-sa-zurich-switzerland-che,BSI SA,Europe,Switzerland,CHE,3,3325140.44
226792,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 16, 2013",2013,"Apr 19, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,banque-heritage-geneva-switzerland-che,Banque Heritage,Europe,Switzerland,CHE,4,3684950
226793,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 11, 2013",2013,"Apr 11, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,bsi-sa-zurich-switzerland-che,BSI SA,Europe,Switzerland,CHE,1,4999531.63
226794,2397,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 8, 2013",2013,"May 9, 2013",2013,baltikums-bank-as,Baltikums Bank AS,Baltikums Bank AS,Europe,Latvia,LVA,russian-commercial-bank-cyprus-limassol-cyprus-cyp,Russian Commercial Bank,Europe,Cyprus,CYP,2,7300000
227169,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 2, 2013",2013,"Apr 16, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,2,20197
227170,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 14, 2013",2013,"May 14, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,1,25230.71
227171,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 8, 2013",2013,"May 29, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,3,42914
227173,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 4, 2013",2013,"Apr 4, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,1,19304.8
227174,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 10, 2013",2013,"May 19, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,3,49672.5
227175,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 5, 2013",2013,"Apr 5, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,1,19293
227176,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 13, 2013",2013,"May 13, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,1,15938
227177,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 12, 2013",2013,"May 31, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,abn-amro-bank-nv-amsterdam-netherlands-nld,ABN Amro Bank N.V.,Europe,Netherlands,NLD,2,1600000
227181,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 2, 2013",2013,"Apr 18, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,commonwealth-bank-of-australia-ho-chi-minh-city-vietnam-vnm,Commonwealth Bank of Australia,Asia,Vietnam,VNM,3,1478600.78
227289,3207,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 21, 2013",2013,"Jun 25, 2013",2013,rietumu-banka-jsc,Rietumu Banka JSC,Rietumu Banka JSC,Europe,Latvia,LVA,denizbank-as-bahrain-branch-obu-manama-bahrain-bhr,Denizbank AS Bahrain Branch,North America,Bahrain,BHR,6,2720000
