id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
235555,2389,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 27, 2013",2013,"May 27, 2013",2013,a-s-jyske-bank,A-S Jyske Bank,A-S Jyske Bank,Europe,Denmark,DNK,eesti-kreditbank-tallinn-estonia-est,Eesti Kreditbank,Europe,Estonia,EST,1,43180.5
234684,3899,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 19, 2013",2013,"Aug 30, 2013",2013,ab-dnb-bankas,AB DNB Bankas,AB DNB Bankas,Europe,Lithuania,LTU,jiangsu-rugao-rural-commercial-bank-co-ltd-rugao-jiangsu-china-chn,Jiangsu Rugao Rural Commercial Bank Co Ltd,Asia,China,CHN,4,176131.04
234687,3899,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 23, 2013",2013,"Aug 23, 2013",2013,ab-dnb-bankas,AB DNB Bankas,AB DNB Bankas,Europe,Lithuania,LTU,temir-bank-almaty-kazakhstan-kaz,Temir Bank,Asia,Kazakhstan,KAZ,1,3000
227721,3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 12, 2014",2014,"Jul 31, 2014",2014,ab-dnb-bankas,AB DNB Bankas,AB DNB Bankas,Europe,Lithuania,LTU,shanghai-pudong-development-bank-shanghai-china-chn,Shanghai Pudong Development Bank,Asia,China,CHN,5,377238.27
227722,3260,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 8, 2014",2014,"Jul 8, 2014",2014,ab-dnb-bankas,AB DNB Bankas,AB DNB Bankas,Europe,Lithuania,LTU,bta-bank-almaty-kazakhstan-kaz,BTA Bank,Asia,Kazakhstan,KAZ,1,1323430
235166,3828,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 7, 2017",2017,"Feb 17, 2017",2017,abc-banking-corporation-ltd,Abc Banking Corporation Ltd,Abc Banking Corporation Ltd,Africa,Mauritius,MUS,firstcaribbean-international-bank-tortola-virgin-islands-british-vgb,Firstcaribbean International Bank,North America,British Virgin Islands,VGB,2,5950
225015,2746,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 20, 2014",2014,"Oct 20, 2014",2014,ablv-bank,ABLV Bank,ABLV Bank,Europe,Latvia,LVA,canara-bank-new-delhi-india-ind,Canara Bank,Asia,India,IND,1,99247
230420,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 8, 2014",2014,"Sep 26, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,ubs-ag-zurich-switzerland-che,UBS AG,Europe,Switzerland,CHE,8,3505035.83
230421,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 4, 2014",2014,"Aug 11, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,lgt-bank-ltd-vaduz-liechtenstein-lie,LGT Bank Ltd,Europe,Liechtenstein,LIE,2,4205000
230422,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 8, 2014",2014,"Sep 3, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,lgt-bank-ltd-vaduz-liechtenstein-lie,LGT Bank Ltd,Europe,Liechtenstein,LIE,8,3754654
230423,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 2, 2014",2014,"Sep 2, 2014",2014,ablv-bank-as,ABLV Bank AS,ABLV Bank AS,Europe,Latvia,LVA,bank-julius-baer-and-co-ag-zurich-switzerland-che,Bank Julius Baer And Co.  AG,Europe,Switzerland,CHE,1,4260000
223887,3430,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 7, 2013",2013,"Mar 26, 2013",2013,abn-amro-bank-nv,ABN Amro Bank N.V.,ABN Amro,Europe,Netherlands,NLD,credit-suisse-ag-geneva-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,13800000
226622,3251,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 3, 2014",2014,"Apr 28, 2014",2014,abn-amro-bank-nv,ABN Amro Bank N.V.,ABN Amro,Europe,Netherlands,NLD,caledonian-bank-limited-georgetown-ky-cym,Caledonian Bank Limited,North America,Cayman Islands,CYM,27,2212262.18
235248,3281,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 30, 2015",2015,"Apr 10, 2015",2015,abn-amro-bank-nv,ABN Amro Bank N.V.,ABN Amro,Europe,Netherlands,NLD,dms-bank-trust-ltd-georgetown-cayman-islands-cym,DMS Bank & Trust Ltd.,North America,Cayman Islands,CYM,13,1827215
239578,2885,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 4, 2015",2015,"Sep 17, 2015",2015,abn-amro-bank-nv,ABN Amro Bank N.V.,ABN Amro,Europe,Netherlands,NLD,as-expobank-riga-latvia-lva,AS Expobank,Europe,Latvia,LVA,7,4820000
223903,3716,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 15, 2013",2013,"Feb 15, 2013",2013,abn-amro-bank-nv-amsterdam-netherlands-nld,"ABN Amro Bank N.V. (Amsterdam, Netherlands)",ABN Amro,Europe,Netherlands,NLD,credit-suisse-ag-zurich-switzerland-che,"Credit Suisse Ag (Zurich, Switzerland)",Europe,Switzerland,CHE,1,2431100
228425,3490,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 29, 2013",2013,"Dec 9, 2013",2013,active-bank,Active Bank,Active Bank,Europe,Ukraine,UKR,unicredit-bank-austria-ag-vienna-austria-aut,UniCredit Bank Austria AG,Europe,Austria,AUT,2,829000
230443,2434,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 25, 2014",2014,"Mar 25, 2014",2014,agropromcredit,Agropromcredit,Agropromcredit,Europe,Russia,RUS,jsc-norvik-banka-riga-latvia-lva,JSC Norvik Banka,Europe,Latvia,LVA,2,3035863.55
233717,3233,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 8, 2013",2013,"Sep 8, 2013",2013,ahli-bank-qsc,Ahli Bank Q.S.C,Ahli Bank Q.S.C,Asia,Qatar,QAT,idbi-bank-ltd-dubai-uae-are,Idbi Bank Ltd,Asia,United Arab Emirates,ARE,1,1798200
