id,icij_sar_id,filer_org_name_id,filer_org_name,filer_org_name_display,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
223254,3297,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 25, 2015",2015,"Sep 25, 2015",2015,cimb-bank-berhad,CIMB Bank Berhad,Asia,Singapore,SGP,barclays-bank-plc-london-england-gbr,Barclays Bank Plc,Europe,United Kingdom,GBR,68,56900000
223255,3297,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Mar 30, 2015",2015,"Sep 25, 2015",2015,cimb-bank-berhad,CIMB Bank Berhad,Asia,Singapore,SGP,barclays-bank-plc-london-england-gbr,Barclays Bank Plc,Europe,United Kingdom,GBR,118,116000000
223388,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 20, 2014",2014,"Apr 20, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,deutsche-bank-ag-singapore-sgp,Deutsche Bank AG,Asia,Singapore,SGP,1,42986.36
223389,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 20, 2014",2014,"Apr 20, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,cibc-toronto-canada-can,Cibc,North America,Canada,CAN,1,42986.36
223400,2778,societe-generale-sa,Societe Generale SA,Societe Generale,"Mar 18, 2014",2014,"Mar 18, 2014",2014,goldman-sachs-and-co-new-york,"Goldman Sachs And Co, New York",North America,United States,USA,societe-generale-bank-and-trust-singapore-sa-sgbt-singapore-singapore-sgp,Societe Generale Bank And Trust Singapore SA,Asia,Singapore,SGP,1,13800000
223563,4314,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Sep 25, 2013",2013,"Sep 25, 2013",2013,kabul-bank,Kabul Bank,Asia,Afghanistan,AFG,halyk-savings-bank-kazakhstan-almaty-kazakhstan-kaz,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,1,113900
223564,4314,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Sep 16, 2013",2013,"Sep 16, 2013",2013,kabul-bank,Kabul Bank,Asia,Afghanistan,AFG,halyk-savings-bank-kazakhstan-almaty-kazakhstan-kaz,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,1,6980
223565,4314,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Sep 12, 2013",2013,"Sep 12, 2013",2013,kabul-bank,Kabul Bank,Asia,Afghanistan,AFG,halyk-savings-bank-kazakhstan-almaty-kazakhstan-kaz,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,1,40800
223566,4314,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Aug 23, 2013",2013,"Aug 23, 2013",2013,kabul-bank,Kabul Bank,Asia,Afghanistan,AFG,halyk-savings-bank-kazakhstan-almaty-kazakhstan-kaz,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,1,17450
223567,4314,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Aug 22, 2013",2013,"Aug 22, 2013",2013,kabul-bank,Kabul Bank,Asia,Afghanistan,AFG,halyk-savings-bank-kazakhstan-almaty-kazakhstan-kaz,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,1,117300
223568,4314,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Aug 5, 2013",2013,"Sep 17, 2013",2013,kabul-bank,Kabul Bank,Asia,Afghanistan,AFG,bank-of-america-na-new-york-usa-usa,Bank of America N.A. ,North America,United States,USA,3,399870
223649,3244,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,Bank of New York Mellon,"Apr 3, 2014",2014,"Apr 27, 2014",2014,rak-bank,Rak Bank,Asia,United Arab Emirates,ARE,state-bank-of-indiamumbai-india-ind,"State Bank of India(Mumbai, India)",Asia,India,IND,1,1355.82
